date,division,index
2010-01-01,overall,100.01666666666667
2011-01-01,overall,103.2
2012-01-01,overall,104.90833333333335
2013-01-01,overall,107.11666666666667
2014-01-01,overall,110.48333333333333
2015-01-01,overall,112.80833333333334
2016-01-01,overall,115.14999999999999
2017-01-01,overall,119.52499999999999
2018-01-01,overall,120.68333333333334
2019-01-01,overall,121.48333333333333
2020-01-01,overall,120.10000000000001
2021-01-01,overall,123.075
2022-01-01,overall,127.23333333333333
2023-01-01,overall,130.4
2024-01-01,overall,132.79166666666666
2025-01-01,overall,134.625
2010-01-01,01,99.99166666666667
2011-01-01,01,104.8
2012-01-01,01,107.61666666666667
2013-01-01,01,111.45
2014-01-01,01,115.175
2015-01-01,01,119.35833333333333
2016-01-01,01,123.90833333333335
2017-01-01,01,128.79999999999998
2018-01-01,01,130.9
2019-01-01,01,133.05833333333334
2020-01-01,01,134.75
2021-01-01,01,137.13333333333333
2022-01-01,01,145.01666666666668
2023-01-01,01,152.01666666666668
2024-01-01,01,155.025
2025-01-01,01,158.19166666666666
2010-01-01,02,100.0
2011-01-01,02,104.60833333333333
2012-01-01,02,105.02499999999999
2013-01-01,02,111.28333333333335
2014-01-01,02,124.21666666666665
2015-01-01,02,141.0
2016-01-01,02,165.24166666666667
2017-01-01,02,165.49166666666667
2018-01-01,02,165.30833333333334
2019-01-01,02,167.775
2020-01-01,02,168.30833333333334
2021-01-01,02,169.15833333333333
2022-01-01,02,170.11666666666667
2023-01-01,02,171.225
2024-01-01,02,172.4
2025-01-01,02,174.0
2010-01-01,03,100.00833333333333
2011-01-01,03,99.75833333333333
2012-01-01,03,99.19166666666666
2013-01-01,03,98.61666666666667
2014-01-01,03,98.425
2015-01-01,03,98.90833333333335
2016-01-01,03,98.52499999999999
2017-01-01,03,98.175
2018-01-01,03,96.16666666666667
2019-01-01,03,94.325
2020-01-01,03,93.53333333333335
2021-01-01,03,93.125
2022-01-01,03,93.24166666666667
2023-01-01,03,93.45833333333333
2024-01-01,03,93.21666666666665
2025-01-01,03,93.04166666666667
2010-01-01,04,100.00833333333333
2011-01-01,04,101.77499999999999
2012-01-01,04,103.39166666666667
2013-01-01,04,105.23333333333333
2014-01-01,04,108.8
2015-01-01,04,111.45
2016-01-01,04,114.175
2017-01-01,04,116.70833333333333
2018-01-01,04,119.02499999999999
2019-01-01,04,121.25
2020-01-01,04,119.14999999999999
2021-01-01,04,121.02499999999999
2022-01-01,04,123.21666666666665
2023-01-01,04,125.25833333333333
2024-01-01,04,129.025
2025-01-01,04,131.09166666666667
2010-01-01,05,99.94166666666666
2011-01-01,05,101.75833333333333
2012-01-01,05,103.78333333333335
2013-01-01,05,105.425
2014-01-01,05,106.53333333333335
2015-01-01,05,109.38333333333333
2016-01-01,05,111.95833333333333
2017-01-01,05,114.39999999999999
2018-01-01,05,114.83333333333333
2019-01-01,05,116.44166666666666
2020-01-01,05,116.71666666666665
2021-01-01,05,118.61666666666667
2022-01-01,05,122.81666666666666
2023-01-01,05,125.60833333333333
2024-01-01,05,126.54166666666667
2025-01-01,05,126.825
2010-01-01,06,100.01666666666667
2011-01-01,06,102.73333333333333
