year,income_median,aff_public,aff_private,aff_public_change,aff_private_change
2012,3626,0.25805914564843135,2.877312173026459,,
2014,4585,0.20408341594791973,2.275492680347642,-0.05397572970051162,-0.6018194926788167
2016,5228,0.1789828733973244,1.9956262317126892,-0.025100542550595323,-0.2798664486349529
2019,5873,0.15932614713454998,1.7764573368625811,-0.019656726262774427,-0.21916889485010804
2020,5209,0.17963571935519523,2.002905344479543,0.02030957222064525,0.2264480076169617
2022,6338,0.14763686685408836,1.646124004322174,-0.03199885250110687,-0.35678134015736873
