university,type,field_category,programme,total_fee
UM,Public,Science,BACHELOR OF SCIENCE IN MATHEMATICS,9700.0
UM,Public,Science,BACHELOR OF SCIENCE IN BIOTECHNOLOGY,9700.0
UM,Public,Science,BACHELOR OF SCIENCE WITH EDUCATION,9400.0
UM,Public,Accounting & Finance,BACHELOR OF ACTUARIAL SCIENCE,10300.0
UM,Public,Science,BACHELOR OF SCIENCE IN STATISTICS,9800.0
UM,Public,Medicine & Health,FACULTY OF DENTISTRY BACHELOR OF DENTAL SURGERY,16500.0
APU,Private,Business,BA (Hons) in Business Management,100600.0
APU,Private,Business,BA (Hons) in Business Management with a specialism in Business Analytics,100600.0
APU,Private,Business,BA (Hons) in Business Management with a specialism in Digital Leadership,100600.0
APU,Private,Business,BA (Hons) in Business Management with a specialism in E-Business,100600.0
APU,Private,Business,BA (Hons) in Human Resource Management,100600.0
APU,Private,Business,BA (Hons) in International Business Management,100600.0
APU,Private,Business,BA (Hons) in Marketing Management,100600.0
APU,Private,Business,BA (Hons) in Marketing Management with a specialism in Digital Marketing,100600.0
APU,Private,Business,Bachelor of Arts (Honours) In Business Management with a specialism in Business Analytics,97400.0
APU,Private,Accounting & Finance,BSc (Hons) in Actuarial Studies,97400.0
APU,Private,Accounting & Finance,Bachelor of Science (Honours) in Actuarial Studies​ with a specialism in Data Analytics,97400.0
APU,Private,Accounting & Finance,Bachelor of Science (Honours) in Actuarial Studies​ with a specialism in Financial Technology,97400.0
APU,Private,Accounting & Finance,BA (Hons) in Accounting and Finance,100600.0
APU,Private,Accounting & Finance,BA (Hons) in Accounting and Finance with a specialism in Accounting Technology,100600.0
APU,Private,Accounting & Finance,BA (Hons) in Accounting and Finance with a specialism in Forensic Accounting,100600.0
APU,Private,Accounting & Finance,BA (Hons) In Accounting And Finance With A Specialism In Forex And Investments,100600.0
APU,Private,Accounting & Finance,Bachelor in Banking and Finance (Hons),97400.0
APU,Private,Accounting & Finance,Bachelor in Banking and Finance (Hons) with a specialism in Financial Technology,97400.0
APU,Private,Accounting & Finance,Bachelor in Banking and Finance (Hons) with a specialism in Investment Analytics,97400.0
APU,Private,Architecture & Built Environment,BSc (Hons) in Architecture,103000.0
APU,Private,Arts & Humanities,BA (Hons) in Animation,103000.0
APU,Private,Arts & Humanities,BA (Hons) in Digital Advertising,103000.0
APU,Private,Arts & Humanities,BA (Hons) in Visual Effects,103000.0
APU,Private,Arts & Humanities,BSc (Hons) in Multimedia Technology with a specialism in VR/AR,103000.0
