date,age,sru_persons,sru_rate
2024-04-01,45+,249.6,22.1
2024-04-01,overall,1923.1,36.2
2024-07-01,15-24,390.7,65.1
2024-07-01,25-34,808.1,41.3
2024-07-01,35-44,498.3,28.1
2024-07-01,45+,245.3,23.0
2024-07-01,overall,1942.4,36.0
2024-10-01,15-24,373.2,67.9
2024-10-01,25-34,704.2,38.9
2024-10-01,35-44,495.7,27.1
2024-10-01,45+,373.1,29.9
2024-10-01,overall,1946.3,35.8
2025-01-01,15-24,393.5,70.7
2025-01-01,25-34,794.0,40.3
2025-01-01,35-44,492.6,28.0
2025-01-01,45+,273.6,23.1
2025-01-01,overall,1953.7,35.7
2025-04-01,15-24,432.1,74.4
2025-04-01,25-34,806.8,40.9
2025-04-01,35-44,490.3,28.3
2025-04-01,45+,226.3,18.7
2025-04-01,overall,1955.6,35.6
2025-07-01,15-24,466.5,74.3
2025-07-01,25-34,786.8,41.0
2025-07-01,35-44,447.8,24.9
2025-07-01,45+,260.4,22.1
2025-07-01,overall,1961.5,35.5
